Text,Label
"অনেকে কাশ্মিরকে পৃথিবীর ভূসর্গ বলেছেন, আবার অনেকে সুইজারল্যান্ডের চাইতেও সুন্দর বলেছেন",positive
আমরাও উঠে গেলাম আর বরফ নিয়ে খেলা করতে শুরু করলাম। স্নিগ্ধ-বাতাস মনের কোঠায় এক প্রশান্তি এনে দিল।,positive
সাজেক এর রাস্তা যথেষ্ট ভালো,positive
"যে বান্দরবন এর থানচি দেখে নি , সে বাংলাদেশ এর সৌন্দর্য দেখে নি",positive
মারায়ংতং চূড়া হাজার গুণ সুন্দর এবং ন্যাচারাল,positive
মেঘ ছাড়া সাজেকের পুরোটাই কৃত্রিম,negative
হিমালয় কন্যা কাঞ্চন জঙ্ঘা 😍😍 এ যেন এক অপরুপ সৌন্দর্য ,positive
অপরূপ সৌন্দর্য ভরা আমাদের পঞ্চগড়,positive
একদম পচা জায়গা এইডার জন্য আবার টাকা দিয়া ভিডিও করতে হবে?,negative
"এইখানে কয়দিন পরে কেউ যাইবো না। একে তো ভাংগা ওয়াচ টাওয়ার, উঠতে দেয় না,নৌকার সিন্ডিকেট,সিএনজির সিন্ডিকেট হাবিজাবি। আজাইরা কাহিনি ।",negative
কয়দিন পর লোকজন ওখানে হিসু করতেও যাবে না,negative
সব বাইকারের স্বপ্নের রোড লাদাখ❤️,positive
লাদাখ এক টুকরো স্বর্গের নাম,positive
লাদাখের আবহাওয়া আমার সবচেয়ে বেশি ভালো লেগেছে,positive
সাজেক কে আমার কাছের ওভাররেটেড মনে হয়েছে,negative
বান্দরবানে হাজার টা সাজেক আছে ভাই।সাজেকের বাপ-দাদা ও বান্দরবানে আছে😁,negative
বাংলাদেশের অ্যাডভেঞ্চার মানেই বান্দরবান,positive
সাজেক নিয়ে এতো মাতামাতি দেখে আসলেই খারাপ লাগে ভাই। জায়গা টাকে একদম ওভাররেটেড বানায়া ফেলসে।,negative
বান্দরবন এর কাছে সাজেক কিছুই না ,negative
" ভিড় কম, পরিবেশ অকৃত্রিম সৌন্দর্য।",positive
১৬৬০ ফুট ২ ঘন্টার খাড়া ট্রেকিং করার পর এই মনোরম দৃশ্য দেখার সৌভাগ্য হয়।,positive
"সাজেক - যদি হয় মেঘ এর নদী , মারায়ণ তং আলীকদম, থানচি - হবে মেঘ এর সমুদ্র 😍",positive
আমাদের শেরপুর জেলার গারো পাহাড়ের মধ্য দিয়ে যাওয়ার সময় মনোরম দৃশ্য মন কেড়ে নেয় সবার,positive
এক অপূর্ব মেঘের রাজ্য কেওক্রাডং,positive
পানির মাঝে ভাস্তে এত টাকা দিয়া কেউ যাইবো না,negative
জাইতাম না এখানে! বাংলাদেশের ট্রাভেল স্পটগুলা ওভাররেটেড হয়ে যাইতেছে। এই টাকায় বাহিরের দেশে গিয়ে ঘুরে আসা যায়।,negative
"পাগলা কুত্তাকামরাইছে এই ফালতু জায়গা দেখতে যাইবো এত টাকা খরচ কইরা, নৌকা ভাড়া ৭০০ টাকার শোক এখনো ভুলতে পারি নাই। ",negative
হুদাই পানি আর গাছ দেখার কোনো ইচ্ছে নাই,negative
রাতারগুলের পানি ঘোলা পরিবেশ অপরিষ্কার অপরিচ্ছন্ন,negative
"মহানন্দার তীরে,তেঁতুলিয়া, পঞ্চগড়, চলে যেতে পারেন দেশের শেষ প্রান্তে একটু প্রশান্তি খুঁজে। ❤",positive
"সাজেকের এমন সকাল দেখবো বলে,আমি কত শতরাত জেগে ছিলাম",positive
লাদাখ স্বপ্নের একটা জায়গা।,positive
দিদি নৈনিতাল গিয়ে দেখো অসাধারণ জায়গা,positive
আমি মেঘালয় গিয়েছিলাম অপূর্ব সুন্দর প্রাকৃতিক সৌন্দর্য বেষ্টিত জায়গা,positive
"সবুজে মোড়া ছবির মত সুন্দর এই উপত্যকায় থাকার জন্য আছে চা বাগানের ঢালে এক ভীষণ সুন্দর ও মিষ্টি একটি রিসর্ট, যার নাম ‘রেনবো ভ্যালি রিসর্ট’। ঠিক যেন শিল্পীর তুলিতে একটা সবুজ ক্যানভাসে কয়েকটা রঙিন বিন্দু আঁকা একটা ছবি। ",positive
"এখানে অবসর যাপনে এসে বিশুদ্ধ প্রকৃতির মাঝে সারাদিন ধরে চা বাগান, পাহাড় ও ভ্যালির অসাধারণ দৃশ্য দেখে ও হরেক রকম পাখির ডাক শুনে মন ভরে যায়।",positive
"ধূমপানের জন্য এক জায়গায় সূরয গাড়ি থামালে, নেমে দেখি চারিদিকে পাহাড় ঘেরা উপত্যকার মনমুগ্ধকর দৃশ্য। ",positive
কটেজের ঘর ও বারান্দা থেকে সামনের চা বাগান ও চারপাশের পাহাড় ও নিচে ভ্যালির দৃশ্য দেখে সারাদিন কেটে যায়। প্রকৃতি যেন খুব যত্ন করে এখানে সবুজের বিভিন্ন শেডে সাজিয়ে তুলেছে এই কালিজ ভ্যালি।,positive
কটেজের ঘর পরিস্কার পরিচ্ছন্ন ও আধুনিক সুযোগ সুবিধে যুক্ত। এরকম নিরিবিলি পাহড়ি জায়গার তুলনায় বন্দোবস্ত যথেষ্টই ভাল। ,positive
"এরকম নির্জন জায়গায় এত সুন্দর আরামদায়ক ব্যবস্থাপনা, এত সুস্বাদু হরেক রকম খাবারের আয়োজন, এসবে অভিভুত হতে হয়।",positive
শুরু হল বৃষ্টি। ঘরে শুয়ে চা বাগানে বৃষ্টি পড়া দেখতে বেশ লাগছিল।,positive
রাস্তা থেকে নিচের বৃষ্টিস্নাত চা বাগানের ঢাল ও রেনবো রিসর্টের দৃশ্য দেখে অপূর্ব লাগছিল।,positive
পরদিন নববর্ষের সকালে নানা পাখির ডাকে পাহাড়ের প্রকৃতি আবার মুখরিত।,positive
চা বাগানের পাশে বসে সেই বাগানেরই চা পান করার মজাটাই আলাদা।,positive
নদীখাতের ওপারের পাহাড়ে আবার চোখে পড়ে গাড়ি চলার রাস্তা। নির্জনতায় মোড়া উৎরাই পথে নামতে নামতে এক একটি বাঁকে পাহাড়-জঙ্গলের সৌন্দর্যময় শোভা।,positive
"জলপ্রপাতের নিচের অংশে একেবারে সুস্পষ্ট, অর্ধচন্দ্রাকারে সাতটি রঙ। এক অপার্থিব দৃশ্যের সাক্ষী রইলাম। নববর্ষের সকালে এক দারুণ উপহার। সার্থক এই ট্রেক করে জলপ্রপাত দেখতে আসা।",positive
"প্রকৃতিপ্রেমী বিশেষ করে যারা অরণ্যের রোমাঞ্চে আগ্রহী আর যারা অকৃত্রিম সৌন্দর্যরস উপভোগ করতে চান, তাদের জন্যে আদর্শ সাপ্তাহান্তিক গন্তব্য হতেই পারে এই ঝাড়গ্রাম। শাল, মহুলের জঙ্গলে হারিয়ে যাওয়া, পাখিদের কলতানে সুর মেলানো, পাহাড় চূড়া ডিঙানো আর অজগর সাপের মত রাস্তা গুলোর বুক চিরে এগিয়ে চলার রোমাঞ্চ এককথায় অসাধারণ। ",positive
"ধন্যবাদ ওনাকে, ধন্যবাদ ঝাড়গ্রাম ট্যুরিজমকে। ওনাদের কথা মতোই হস্তশিল্প মেলায় কিছু সময় কাটাই আর বলাই বাহুল্য খুবই ভালো লেগেছে।",positive
"ছৌ নাচ সাঁওতালি নৃত্য, বাউল গান দিয়ে সজ্জিত ছিল মেলার সাংস্কৃতিক অনুষ্ঠান যা অত্যন্ত উপভোগ্য।",positive
"হেমন্তের সেই অপূর্ব রঙের শোভা, বিচিত্র স্বাদেগন্ধে অতুলনীয় আপেল বাগিচা, তুষারধবল পর্বতচূড়া, উচ্ছ্বসিত স্রোতস্বিনীর মোহময়ী রূপ-এভাবে কিন্নরদের দেশ আমায় জয় করে নেবে যাওয়ার আগে ভাবিনি।",positive
 সুন্দর ঝকঝকে চড়াই উৎরাই রাস্তা ,positive
মন্দির ও তার মহিমার পাশাপাশি হাটু পিক যাওয়ার রাস্তাটাও অসম্ভব সুন্দর। ,positive
কি যে সুন্দর সেই বসপা সমন্বিত রকছাম ভ্যালি তা বলে বোঝানো দায়।,positive
করছাম ড্যাম যথেষ্ট আবেদন রাখে ভ্রমণ পিপাসুদের কাছে। পান্না সবুজ তার জলের রং। রং দেখে লাগে রীতিমতো বিস্ময়।,positive
"কিন্নরদেশের প্রকৃতির বিচিত্র বর্ণশোভা, কিন্নর-কিন্নরীদের সুমিষ্ট গন্ধবাহী বাতাস মনে মাদকতাময় অনুভূতির রেশ ছড়িয়ে দিল",positive
"অনাবিল প্রাকৃতিক সৌন্দর্যে ঘেরা, পশ্চিম সিকিমের এক ছোট্ট হিল স্টেশন রিনচেনপং, যেখানে কাঞ্চনজঙ্ঘার অপরূপ শোভা দেখার হাতছানি। ",positive
মেলির পর থেকেই রাস্তার বেহাল দশা,negative
কাঞ্চনজঙ্ঘা দর্শনে প্রতিবারের মতই উত্তেজিত ও আনন্দিত হলাম। ,positive
রিনচেনপংয়ের একেবারে শেষ প্রান্তে এই হোটেল ও মনাস্ট্রিটির অবস্থান। দূর্দান্ত লোকেশন হোটেলটির।,positive
"পাইন – ফারের সারির সবুজের মাঝে কিছু সুদৃশ ঘর বাড়ি, বৌদ্ধ স্থাপত্য, তিব্বতী ভাস্কর্য্য, রাস্তার ধারে ফুটে থাকা রঙ বেরঙের ফুলের সারি, মৃদু বাতাসে চারিদিকে উড়তে থাকা প্রেয়ার ফ্ল্যাগ, একদিকে দন্ডায়মান কাঞ্চনজঙ্ঘার শ্বেত শুভ্র শিখর – সব মিলিয়ে এই ঝকঝকে একটি সকালে রিনচেনপংকে বড়ই মনোরম লাগছিল।",positive
"কাঞ্চনজঙ্ঘার অপরূপ শোভায় আমরা এতটাই অভিভুত, বিহ্বল হয়ে পড়লাম, যে চোখ মোটে সরাতেই পারছিলাম না সেদিক থেকে।",positive
কলকাতা ও শহরতলির মানুষজনের ক্ষেত্রে কাছাকাছির মধ্যে মনোরম অথচ অন্যরকম জায়গা এই সিমলিপাল।,positive
 জঙ্গল ভেদ করে তিরতির করে বয়ে চলেছে নাম না জানা নদী। সেই গতিপথ ধরে কিছুটা ওপরে উঠতেই উস্কি উঁকি মারল। কাছে গেলে আপনার মন ভরে যেতে বাধ্য। ,positive
